1634313390,15 Oct 21 (16:56),52,"Permuted Multiples"
1632139983,20 Sep 21 (13:13),25,"$1000$-digit Fibonacci Number"
1631900699,17 Sep 21 (18:44),67,"Maximum Path Sum II"
1631900568,17 Sep 21 (18:42),18,"Maximum Path Sum I"
1631633578,14 Sep 21 (16:32),15,"Lattice Paths"
1631119278,08 Sep 21 (17:41),31,"Coin Sums"
1621352300,18 May 21 (16:38),11,"Largest Product in a Grid"
1603728345,26 Oct 20 (16:05),12,"Highly Divisible Triangular Number"
1603587419,25 Oct 20 (01:56),48,"Self Powers"
1603587067,25 Oct 20 (01:51),20,"Factorial Digit Sum"
1603586922,25 Oct 20 (01:48),16,"Power Digit Sum"
1603586267,25 Oct 20 (01:37),22,"Names Scores"
1603584763,25 Oct 20 (01:12),14,"Longest Collatz Sequence"
1603584131,25 Oct 20 (01:02),13,"Large Sum"
1603476327,23 Oct 20 (19:05),10,"Summation of Primes"
1603471229,23 Oct 20 (17:40),9,"Special Pythagorean Triplet"
1603471170,23 Oct 20 (17:39),8,"Largest Product in a Series"
1603471119,23 Oct 20 (17:38),7,"10 001st Prime"
1603396059,22 Oct 20 (20:47),6,"Sum Square Difference"
1603396000,22 Oct 20 (20:46),5,"Smallest Multiple"
1603395925,22 Oct 20 (20:45),4,"Largest Palindrome Product"
1603395876,22 Oct 20 (20:44),3,"Largest Prime Factor"
1603395578,22 Oct 20 (20:39),2,"Even Fibonacci Numbers"
1603395537,22 Oct 20 (20:38),1,"Multiples of 3 or 5"
